X1SES,stX1HHNUMBER,stX1PAREDU,Cluster
1.5644,-1.000080533,1.294337303,0
-0.3699,1.174880454,-0.161471782,2
1.2741,-1.000080533,2.022241846,0
0.5498,-1.725067529,0.56643276,0
0.1495,-0.275093538,0.56643276,0
1.0639,1.174880454,-0.161471782,0
-0.43,-1.725067529,-0.889376325,2
1.5144,-1.000080533,2.022241846,0
-0.3103,-1.000080533,-0.889376325,2
0.0451,-0.275093538,-0.161471782,2
1.2058,1.174880454,1.294337303,0
2.4996,0.449893458,2.022241846,0
2.5668,-0.275093538,2.022241846,0
-0.8837,-1.725067529,-0.889376325,2
0.9973,-1.000080533,0.56643276,0
0.0686,-0.275093538,-0.161471782,2
1.3989,0.449893458,2.022241846,0
-0.2746,-0.275093538,-0.161471782,2
0.4235,-1.000080533,-0.889376325,2
1.4372,-0.275093538,1.294337303,0
0.1402,0.449893458,1.294337303,0
1.1142,-0.275093538,2.022241846,0
0.0887,0.449893458,0.56643276,0
-0.8297,-1.000080533,-1.617280868,2
1.5809,-0.275093538,1.294337303,0
-0.6008,-0.275093538,-0.889376325,2
-8.0,-1.725067529,-0.889376325,1
0.1493,1.899867449,-0.161471782,2
0.5238,-0.275093538,-0.161471782,0
1.0472,-0.275093538,0.56643276,0
0.6753,1.899867449,0.56643276,0
-0.7046,-1.725067529,-0.889376325,2
1.3291,-0.275093538,2.022241846,0
-0.2739,0.449893458,-0.161471782,2
0.3972,-0.275093538,1.294337303,0
-1.1012,-1.000080533,-0.889376325,2
0.9842,-1.000080533,0.56643276,0
-0.2606,-0.275093538,-0.889376325,2
1.4132,-0.275093538,1.294337303,0
-0.7901,-0.275093538,-0.889376325,2
0.5511,-0.275093538,0.56643276,0
-0.0058,-1.725067529,-1.617280868,2
-0.7022,2.624854445,-0.889376325,2
-0.1112,0.449893458,-0.889376325,2
-0.5381,-0.275093538,-0.889376325,2
-0.3694,1.174880454,-0.889376325,2
-1.7526,1.899867449,-1.617280868,2
1.6587,0.449893458,2.022241846,0
2.0218,-1.000080533,2.022241846,0
-0.0998,1.174880454,-0.889376325,2
